title,message,question_no
Daycare,,16
First child,,21
##### turnip yarn!,,21
Opened my Lifevault account,,17
Our wedding day,,24
##### LV should see this,,13
Still working,,25
Try late in the night,,25
here is my new moment,,20
Alhambra Gardens,,21
##### born,,21
Cartagena,,16
Catchup with #####,,20
Clementine’s Birth,,20
Created LifeVault Account,,9
##### ##### ##### born,,9
P785878 died,,14
Kids at #####’s house,,25
Met ##### at the Irish Pub in Amsterdam,,21
Moved to #####,,21
"My daughter and I went and looked at a puppy today. My daughter put a deposit on the puppy. He is a Whippet, white and Brindle, so cute.",,14
New bag of beans,,17
Represented Australia at the World Seniors Tennis Championships,,21
Saturday Morning,,20
Should see this one on LV,,13
Started Working at Lifevault,,21
Taj Harland ##### born,,4
Taj is born,,4
The moment i got life vault beta access!,,3
Vetting ready,,15
Wedding,,15
Wedding Day!!!,,18
Wedding!!!,,15
##### backward,,16
another request,,16
The day we start telling the world about Lifevault,"A career making day for me!
It becomes clear the Lifevault launch has been very well received.
No matter what happens from now on I can say I’m the one who got Lifevault to market!!!",3
Police helicopter lands behind the house,Damn these things are impressive up close.,3
Lifevault T-shirts Arrived,"Person1 and Person46454 in the kitchen at 7 ##### Street, #####. Very proud of our Lifevault t-shirts and looking dashing!!",9
##### first day of school,##### starting prep with ##### going into grade 2. ##### 5 and ##### 7.,15
Jiro Ramen,Jiro Ramen with Goto san. Waited 1 and a half hours in line to eat for 10 mins!,21
Work,##### signed up to Lifevault.,20
Salmat profile pic,Love adding random words.  Change how this searches,20
Christmas 2017,Love these little bugs,13
Married,Married P788797897%$%%$%,21
New Years,New Years,21
Second moment,Thats the second photo. Lets see if celery works,25
My regular day walking to work at NAB,"This is the laneway that I would walk down everyday on the way to work when I was working at NAB. I read once that walking on cobblestone was good for your circulation and I would often take big deep breaths in the morning as grandpa ##### used to say this was a good way to start the day. It would take me about 10 minutes to walk to Burnley station and every now and then I would leave at the same time as Tommy and walk with him, which I always enjoyed. 
On this particular day it was Feb 14th, Valentine'",9
" forgot to bring a towel to go down the slide on!""",Went for a drive out to Vaughan Springs for a change,18
" titled ""Hang On""","1. Desert
2nd birthday,2 birthday,1
A favourite spot for family camping,##### River Camping,1
Added voice recording 12:12 on 12-02-18.  Song by Michael W Smith",2
Tag and delete,Atlas,16
,Chairs,16
##### is born,"Cute
a great photo taken the day show was born or maybe the day after",18
Became critically ill,"Five surgeries in two weeks, severe sepsis, etc.",5
6th birthday,Hi there,19
Started this moment,I met ##### at the bank,20
1 birthday,I was born,19
Marriage,"Married P2 d4242 #####.<br/><br/>We eloped, with only the Marriage Celebrant in attendance.<br/><br/>Married on the 127th day of meeting one another.",18
Lifevault website and web app go live at 11:39pm,"Only #####, #####, #####, ##### and I knew the site was going live.",21
Inaugural ##### family holiday,Poolside,21
January,Sitting on the front steps at Maclise Street.,27
Saturday morning@home,This was the view from my bedroom this morning. Isnt it remarkable?,18
New Years Day Family Photo 2018,This year ##### said I want to start a family tradition that we take a family photo on New Years Day.<br><br>This is our first one!!!,4
Married,We got married first,21
Working on Lifevault,"Working on Lifevault, ironing out the final issues",23
##### birth,"Yes, quite a big baby...",18
